Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,65.800003,66.389999,65.279999,65.500000,60.842472,128100
2016-05-24,65.559998,67.139999,65.559998,66.949997,62.189377,147100
2016-05-25,67.000000,67.750000,66.500000,67.339996,62.551620,135500
2016-05-26,67.669998,67.820000,66.830002,67.739998,62.923183,110200
2016-05-27,67.599998,67.599998,65.860001,66.250000,61.539146,154800
2016-05-31,66.099998,67.160004,65.459999,66.230003,61.520569,210300
2016-06-01,66.160004,67.769997,66.010002,67.430000,62.635239,197400
2016-06-02,67.430000,67.540001,65.570000,67.540001,62.737419,198600
2016-06-03,67.540001,67.610001,64.019997,64.279999,59.709232,426600
2016-06-06,62.360001,63.820000,59.439999,59.980000,55.714985,835400
2016-06-07,59.970001,59.970001,58.830002,59.130001,54.925426,378800
2016-06-08,59.209999,61.169998,59.119999,59.669998,55.427029,305500
2016-06-09,59.660000,60.250000,59.299999,59.500000,55.269115,240400
2016-06-10,59.470001,59.470001,57.250000,57.410000,53.327732,332000
2016-06-13,61.950001,63.570000,61.290001,62.290001,57.860729,1382700
2016-06-14,63.049999,63.049999,59.090000,59.680000,55.436317,501100
2016-06-15,60.110001,60.230000,58.529999,58.709999,54.535290,239600
2016-06-16,58.849998,59.750000,58.389999,59.430000,55.204098,222200
2016-06-17,62.340000,62.990002,60.279999,60.639999,56.328053,577200
2016-06-20,61.180000,61.990002,59.830002,60.150002,55.872890,296800
2016-06-21,60.200001,62.189999,60.180000,61.439999,57.071167,236700
2016-06-22,61.770000,63.380001,61.740002,61.860001,57.461311,239200
2016-06-23,62.520000,63.419998,62.090000,62.830002,58.362335,242200
2016-06-24,61.139999,62.500000,59.730000,61.720001,57.331257,282400
2016-06-27,61.709999,61.709999,59.209999,59.799999,55.547791,279000
2016-06-28,60.740002,61.130001,60.110001,60.820000,56.495251,214500
2016-06-29,61.840000,62.860001,60.930000,62.770000,58.306602,239300
2016-06-30,62.840000,64.010002,62.520000,64.010002,59.458427,207600
2016-07-01,64.050003,65.169998,63.700001,65.019997,60.396599,217800
2016-07-05,65.080002,65.110001,62.290001,63.490002,58.975403,279800
2016-07-06,63.049999,64.410004,62.570000,64.410004,59.829983,301600
2016-07-07,64.389999,64.919998,64.089996,64.519997,59.932148,125800
2016-07-08,66.709999,68.370003,66.250000,67.650002,62.839592,928000
2016-07-11,68.489998,70.279999,67.820000,69.709999,64.753105,494600
2016-07-12,70.300003,70.300003,66.610001,67.480003,62.681675,391300
2016-07-13,67.529999,67.970001,66.650002,67.349998,62.560928,224900
2016-07-14,67.349998,67.989998,66.910004,67.529999,62.728111,152900
2016-07-15,68.180000,68.629997,65.989998,68.019997,63.183273,327100
2016-07-18,68.949997,69.169998,67.839996,68.110001,63.266884,264200
2016-07-19,67.970001,68.290001,66.730003,67.800003,62.978931,254600
2016-07-20,67.800003,68.529999,67.430000,67.550003,62.746716,172900
2016-07-21,67.190002,67.730003,66.529999,66.830002,62.077904,117800
2016-07-22,66.360001,67.559998,66.000000,67.019997,62.254395,155200
2016-07-25,67.250000,68.809998,66.769997,68.660004,63.777786,234700
2016-07-26,68.680000,69.949997,68.459999,68.930000,64.028587,313500
2016-07-27,68.930000,69.860001,68.540001,69.720001,64.762413,252700
